downs<>1
fumbled<>4
turned over<>5
turns over<>5
turn over<>5
incomplete<>6
intercepted<>7
intercept<>7
intercepts<>7
kicked off<>8
kicks off<>8
kick off<>8
punted<>9
punts<>9
returned<>10
returns<>10
rushed<>11
rushes<>11
sacked<>12
sacks<>12
timed out<>16
time out<>16
passed<>286
passes<>286
fair caught<>284
fairly caught<>284
penalized<>285
hikes<>309
snaps<>309
