Jamal-Rashad Patterson<>1<>21<>WR<>208<>SR<>McDonough, GA/Henry County HS
Josiah Paye<>1<>34<>FS<>170<>FR<>Nevada City, CA/Nevada Union
Andrus Peat<>1<>70<>OT<>308<>FR<>Chandler, AZ/Corona del Sol
Robbie Picazo<>1<>13<>QB<>212<>SR<>Santa Margarita, CA/Tesoro HS
Ra'Chard Pippens<>1<>38<>CB<>195<>SO<>McDonough, GA/Ola HS
Eddie Plantaric<>1<>69<>OT<>276<>JR<>Orangevale, CA/Del Campo HS
Jordan Pratt<>1<>87<>WR<>215<>SO<>Monmouth, OR/Central HS
Michael Rector<>1<>3<>WR<>178<>FR<>Gig Harbor, WA/Bellarmine Preparatory
Kevin Reihner<>1<>63<>C<>294<>SO<>Scranton, PA/Scranton Prep
Ed Reynolds<>1<>29<>FS<>207<>JR<>Orange Park, FL/Woodberry Forest HS
Ben Rhyne<>1<>14<>P/K<>197<>JR<>Charlotte, NC/Charlotte Country Day School
Jordan Richards<>1<>8<>SS<>208<>SO<>Folsom, CA/Folsom HS
Jemari Roberts<>1<>84<>TE<>233<>SR<>Long Beach, CA/Wilson HS
Torsten Rotto<>1<>53<>OLB<>236<>SO<>Woodbury, MN/Woodbury HS
JB Salem<>1<>72<>DE<>266<>SO<>Newport Beach, CA/Newport Beach HS
Barry Sanders<>1<>26<>RB<>191<>FR<>Oklahoma City, OK/Heritage Hall
Sam Schwartzstein<>1<>64<>C<>292<>RS SR<>Southlake, TX/Carroll HS
Ricky Seale<>1<>30<>RB<>193<>JR<>Escondido, CA/Escondido HS
Brent Seals<>1<>27<>SS<>189<>SR<>Chino Hills, CA/Bishop Amat HS
Aziz Shittu<>1<>7<>DE<>264<>FR<>Atwater, CA/Buhach Colony
Sam Shober<>1<>67<>OLB<>220<>FR<>Monroe, WA/Archbishop Murphy
Graham Shuler<>1<>52<>C/OG<>268<>FR<>Franklin, TN/Brentwood Academy
Patrick Skov<>1<>24<>FB<>238<>SO<>Piedmont, CA/The Lawrenceville School
Shayne Skov<>1<>11<>ILB<>242<>SR<>Piedmont, CA/Trinity-Pawling School
Rollins Stallworth<>1<>13<>WR<>194<>SO<>Reno, NV/McQueen HS
Terrence Stephens<>1<>99<>DT<>305<>SR<>Gaithersburg, MD/Quince Orchard HS
Andrew Stutz<>1<>29<>RB/FB<>202<>SR<>Scottsdale, AZ/Notre Dame Prep
Spencer Summers<>1<>24<>K<>177<>SO<>Minneapolis, MN/Minnehaha Academy
AJ Tarpley<>1<>17<>ILB<>238<>JR<>Plymouth, MN/Wayzata HS
Stepfan Taylor<>1<>33<>RB<>215<>SR<>Mansfield, TX/Mansfield HS
Drew Terrell<>1<>4<>WR<>180<>SR<>Chandler, AZ/Hamilton HS
Chase Thomas<>1<>44<>OLB<>248<>RS SR<>Marietta, GA/Walton HS
Levine Toilolo<>1<>11<>TE<>265<>SR<>La Mesa, CA/Helix HS
Jeff Trojan<>1<>18<>WR<>185<>JR<>Huntington Beach, CA/Edison HS
Austin Tubbs<>1<>62<>LS<>203<>SO<>San Clemente, CA/San Clemente HS
Conrad Ukropina<>1<>34<>P/K<>175<>FR<>Pasadena, CA/Loyola
Cole Underwood<>1<>50<>OT/OG<>301<>JR<>Denton, TX/John H. Guyer HS
James Vaughters<>1<>9<>ILB<>246<>SO<>Stone Mountain, GA/Tucker HS
Lee Ward<>1<>46<>FB<>245<>JR<>Chesterfield, MO/Parkway Central HS
Jordan Watkins<>1<>75<>DT/DE<>274<>FR<>Decatur, GA/Woodward Academy
Kodi Whitfield<>1<>9<>WR<>188<>FR<>Los Angeles, CA/Loyola
Anthony Wilkerson<>1<>32<>RB<>218<>JR<>Foothill Ranch, CA/Tustin HS
Khalil Wilkes<>1<>65<>OG<>291<>SR<>Teaneck, NJ/St. Peters Prep.
Jordan Williamson<>1<>19<>K<>192<>JR<>Austin, TX/Westwood HS
Remound Wright<>1<>22<>RB<>205<>SO<>Fort Wayne, IN/Bishop Dwenger HS
David Yankey<>1<>54<>OG<>301<>JR<>Roswell, GA/Centennial HS
Alex Yazdi<>1<>79<>DE<>255<>SO<>Cave Creek, AZ/Cactus Shadows HS
Kelsey Young<>1<>39<>WR/RB<>195<>SO<>Norco, CA/Norco HS
Sam Yules<>1<>68<>ILB<>230<>FR<>Dartmouth, MA/Moses Brown School
Daniel Zychlinski<>1<>36<>P<>208<>RS SR<>Tampa, FL/King HS
Chris Adcock<>2<>58<>OL<>300<>SO<>Rowlett, TX (Dallas Christian HS)
Ted Agu<>2<>35<>LB<>240<>SO<>Bakersfield, CA (Frontier HS)
Keenan Allen<>2<>21<>WR<>210<>JR<>Greensboro, NC (Northern Guilford HS/Grimsley HS)
CJ Anderson<>2<>9<>TB<>210<>SR<>Vallejo, CA (Laney College/Bethel HS)
Ross Anderson<>2<>36<>WR<>219<>FR<>Moraga, CA (Miramonte HS)
Stephen Anderson<>2<>89<>WR<>210<>RS FR<>San Jose, CA (Piedmont Hills HS)
Marc Anthony<>2<>2<>DB<>200<>SR<>Chandler, AZ (Chandler HS)
Todd Barr<>2<>41<>DL<>275<>RS FR<>Lakewood, CA (Lakewood HS)
Mitchel Bartolo<>2<>27<>TB<>190<>JR<>San Diego, CA (Westview HS)
Michael Barton<>2<>8<>LB<>220<>FR<>Concord, CA (De La Salle HS)
Noah Beito<>2<>19<>PK<>175<>FR<>Scotts Valley, CA (Scotts Valley HS)
Brendan Bigelow<>2<>5<>TB<>190<>SO<>Fresno, CA (Central East HS)
Kyle Boehm<>2<>6<>QB<>220<>RS FR<>San Jose, CA (Archbishop Mitty HS)
Ross Bostock<>2<>81<>WR<>202<>SR<>Sebastapol, CA (Analy HS)
Jackson Bouza<>2<>28<>WR<>185<>JR<>Lafayette, CA (De La Salle HS)
Mark Brazinski<>2<>68<>OL<>300<>JR<>Basking Ridge, NJ (Immaculata HS)
Spencer Briare<>2<>41<>TE<>230<>FR<>Granite Bay, CA (Granite Bay HS)
Allan Bridgford<>2<>16<>QB<>220<>JR<>Mission Viejo, CA (Mission Viejo HS)
Nathan Broussard<>2<>22<>LB<>246<>RS FR<>Plano, TX (Plano West HS)
