Jordan McDonald<>49<>DE<>220<>RS SO<>Scottsdale, Ariz./Saguaro
William McGehee<>75<>OL<>292<>SO<>Plano, Texas/Prestonwood Christian Acad./Navarro CC
Marcus Mehlhaf-Brown<>37<>DB<>180<>SO<>Peoria, Ariz./Brophy HS/Benedectine
Carlos Mendoza<>7<>LB<>217<>FR<>Oxnard, Calif./Oaks Christian HS
Kyle Middlebrooks<>7<>WR<>183<>JR<>Fountain Valley, Calif./Fountain Valley
Jamal Miles<>32<>WR<>184<>SR<>Peoria, Ariz./Peoria
Viliami (Laiu) Moeakiola<>12<>S<>198<>FR<>Euless, Texas/Trinity HS
Jon Mora<>97<>PK<>184<>JR<>San Jose, Costa Rica/Mountain Pointe/PimaCC
James Morrison<>22<>DE<>223<>RS SR<>Phoenix, Ariz./St. Mary's
Robert Nelson<>9<>DB<>170<>RS JR<>Lakeland, Fla./North Gwinnett HS/Louisiana-Monroe
Sean O'Grady<>93<>DL<>251<>RS FR<>Las Flores, Calif./Tesoro
Junior Onyeali<>5<>DE<>233<>JR<>Denver, Colo./Mullen
CJ Overton<>36<>LB<>190<>JR<>Murfreesboro, Tenn./Riverdale/Dodge City CC
Kevin Ozier<>82<>WR<>196<>RS JR<>San Diego, Calif./Mira Mesa
David Pender<>59<>LB<>209<>JR<>Brooklyn, N.Y./Marcos de Niza HS/Herkiner College
Mike Pennel<>99<>DL<>355<>JR<>Aurora, Colo./Grandview HS/Scottsdale (Ariz.) CC
A.J. Pickens<>9<>WR<>179<>RS SR<>Chino, Calif./Don Lugo
Parker Rasmusson<>89<>WR<>169<>FR<>Phoenix, Ariz./Desert Ridge
R.J. Robinson<>35<>RB<>175<>RS JR<>Glendale, Ariz./Westview
Darwin Rogers<>17<>TE<>243<>JR<>Chicago, Ill.//Arizona Western
Rashad Ross<>15<>WR<>167<>SR<>Vallejo, Calif./Vallejo/Butte College
Matthew Rowe<>34<>LB<>202<>FR<>Long Beach, Calif./Polytechnic HS
C.J. Ryan<>61<>DT<>284<>JR<>Seattle, Wash./Seattle Prep/Purdue
Andrew Sampson<>72<>OL<>301<>RS SR<>Aurora, Colo./Overland
Chip Sarafin<>79<>OL<>325<>RS SO<>Gilbert, Ariz./Highland
Brice Schwab<>71<>OL<>302<>RS SR<>West Sunbury, Penn./Moniteau/Palomar College
Jake Sheffield<>91<>DT<>273<>JR<>Denver, Colo.//College of the Desert
Donnie Shields<>66<>LS<>240<>FR<>Sun City, Ariz./Liberty HS
Max Smith<>44<>TE<>250<>RS JR<>Scottsdale, Ariz./Saguaro
Richard Smith<>3<>WR<>164<>FR<>Long Beach, Calif./Polytechnic HS
Tyler Sulka<>54<>OL<>271<>RS SO<>Sherman Oaks, Calif./Notre Dame
Will Sutton<>90<>DT<>267<>RS JR<>Corona, Calif./Centennial
Grandville Taylor<>56<>LB<>213<>RS JR<>San Francisco, Calif./George Washington
Vi Teofilo<>73<>OL<>305<>RS FR<>Phoenix, Ariz./Moon Valley
Toa Tuitea<>96<>DE<>275<>RS SR<>Westminster, Calif./Westminster
Rashad Wadood<>13<>CB<>184<>SO<>Long Beach, Calif./Lakewood
Easton Wahlstrom<>64<>OL<>231<>FR<>Scottsdale, Ariz./Desert Mountain
Marcus Washington<>20<>RB<>224<>RS SO<>Phoenix, Ariz./Desert Vista
Luke Williams<>36<>S<>200<>SO<>Brea, Calif./Brea-Olinda/Saddleback College
Ryan Woods<>14<>QB<>203<>JR<>Granite Bay, Calif.//El Cajon College
Chris Young<>21<>S<>232<>JR<>Seattle, Wash./Auburn Senior HS/Arizona Western
