Josh Huff<>8<>1<>WR<>205<>Jr.<>Houston, Texas (Nimitz HS)
Rodney Hardrick<>8<>48<>LB<>230<>So.<>Colton, Calif. (Colton HS)
Eric Solis<>8<>48<>PK<>192<>RSo.<>Sherman Oaks, Calif. (Notre Dame HS)
Jackson Rice<>8<>49<>P<>218<>Sr.<>Moraga, Calif. (Campolindo HS)
Ryan Hagen<>8<>50<>DT<>285<>Jr.<>Brea, Calif. (Troy HS)
Isaac Ava<>8<>51<>LB<>240<>So.<>Ewa Beach, Hawaii (St. Louis HS)
Dawson Housley<>8<>52<>LB<>200<>Fr.<>Eugene, Ore. (Sheldon HS)
Hamani Stevens<>8<>54<>OL<>298<>So.<>Hemet, Calif. (Hemet HS)
Hroniss Grasu<>8<>55<>OL<>294<>So.<>Encino, Calif. (Crespi HS)
Alex Balducci<>8<>56<>DL<>290<>Fr.<>Portland, Ore. (Central Catholic HS)
Trevor Fox<>8<>57<>OL<>290<>Jr.<>Temecula, Calif. (Chaparral HS)
James Euscher<>8<>58<>OL<>291<>RFr.<>Aloha, Ore. (Aloha HS)
Jeff Palmer<>8<>59<>LS<>190<>Sr.<>Dana Point, Calif. (Santa Margarita HS)
Grant Thompson<>8<>59<>LB<>220<>So.<>Cottage Grove, Ore. (Cottage Grove HS)
Ryan Clanton<>8<>60<>OL<>305<>Sr.<>Bakersfield, Calif. (Bakersfield Christian HS)
Nick Cody<>8<>61<>OL<>310<>Sr.<>Brush Prairie, Wash. (Hockinson HS)
Matt Pierson<>8<>62<>OL<>272<>RFr.<>West Linn, Ore. (Jesuit HS)
Mana Greig<>8<>63<>OL<>291<>Jr.<>Kailua, Hawaii (St. Louis HS)
Tyler Johnstone<>8<>64<>OL<>292<>RFr.<>Chandler, Ariz. (Hamilton HS)
Isaac Remington<>8<>65<>DT<>305<>Sr.<>Queen Creek, Ariz. (Phoenix College) (Valley Christian HS)
Taylor Hart<>8<>66<>DT<>292<>Jr.<>Tualatin, Ore. (Tualatin HS)
Jamal Prater<>8<>68<>OL<>275<>RFr.<>Etiwanda, Calif. (Etiwanda HS)
Matthew McFadden<>8<>70<>OL<>303<>Fr.<>Novato, Calif. (Marin Catholic HS)
Everett Benyard<>8<>71<>OL<>305<>Jr.<>San Diego, Calif. (Cathedral Catholic HS)
Andre Yruretagoyena<>8<>72<>OL<>288<>RFr.<>Scottsdale, Ariz. (Chaparral HS)
Kyle Long<>8<>74<>OL<>311<>Sr.<>Charlottesville, Va. (Saddleback CC) (St. Anne’s-Belfield HS)
Jake Fisher<>8<>75<>OL<>294<>So.<>Traverse City, Mich. (Traverse City West)
Carson York<>8<>77<>OL<>293<>Sr.<>Coeur d’Alene, Idaho (Lake City HS)
Karrington Armstrong<>8<>78<>OL<>290<>Jr.<>Reno, Nev. (McQueen HS)
Koa Ka'ai<>8<>80<>TE<>251<>RFr.<>Honolulu, Hawaii (Kamehameha HS)
Aaron Lee<>8<>81<>WR<>195<>So.<>Federal Way, Wash. (Decatur HS)
Christian French<>8<>82<>DE<>242<>RFr.<>Cedar Rapids, Iowa (John F. Kennedy HS)
Stetzon Bair<>8<>84<>DL<>270<>So.<>St. Anthony, Idaho (Iowa Western CC) (South Fremont HS)
Chad Delaney<>8<>84<>WR<>180<>Jr.<>Elmira, Ore. (Elmira HS)
Pharaoh Brown<>8<>85<>TE<>234<>Fr.<>Lyndhurst, Ohio (Brush HS)
Brian Teague<>8<>86<>TE<>265<>Jr.<>Portland, Ore. (David Douglas HS)
Nick Morrison<>8<>87<>DL<>265<>Sr.<>Everett, Wash. (Cascade HS)
Jeff Bedbury<>8<>88<>WR<>195<>RSo.<>Eugene (Marist HS)
Will Murphy<>8<>89<>WR<>193<>Sr.<>Albany, Ore. (West Albany HS)
Ricky Heimuli<>8<>90<>DT<>305<>Jr.<>Glendale, Utah (Brighton HS)
Dane Ebanez<>8<>91<>WR<>180<>Jr.<>North Pole, Alaska (North Pole HS)
Tony Washington<>8<>91<>DE<>244<>So.<>Rancho Cucamonga, Calif. (Los Osos HS)
Patrick Acosta<>8<>92<>WR<>167<>Jr.<>Beaverton, Ore. (Westview HS)
Wade Keliikipi<>8<>92<>DT<>295<>Jr.<>Waianae, Hawaii (Waianae HS)
Rob Beard<>8<>93<>PK<>215<>Sr.<>Fullerton, Calif. (Troy HS)
Axel McQuaw<>8<>94<>OL<>275<>Jr.<>Yachats, Ore. (Waldport HS)
Dion Jordan<>8<>96<>DE<>243<>Sr.<>Chandler, Ariz. (Chandler HS)
Hayden Crook<>8<>97<>PK<>155<>Fr.<>Bend (Bend HS)
Jared Ebert<>8<>97<>DT<>260<>Jr.<>Iowa City, Iowa (Iowa Western CC) (Iowa City West HS)
David Kafovalu<>8<>98<>DE<>240<>So.<>Riverside, Calif. (Arlington HS)
Sam Kamp<>8<>99<>DL<>251<>RFr.<>Mesa, Ariz. (Mountain View HS)
