Nick Schlossberg<>5<>57<>LB<>215<>Fr<>San Diego, CA
Doug Scott<>5<>45<>LB<>200<>Sr<>San Diego, CA
Jesse Scroggins<>5<>15<>QB<>210<>So<>Lakewood, CA
Kevon Seymour<>5<>23<>CB<>170<>Fr<>Pasadena, CA
Josh Shaw<>5<>26<>S<>190<>So<>Palmdale, CA
Devian Shelton<>5<>17<>CB<>185<>Fr<>Inglewood, CA
Hunter Simmons<>5<>46<>FB<>240<>Jr<>Pasadena, CA
Jordan Simmons<>5<>68<>T<>335<>Fr<>Inglewood, CA
Marquis Simmons<>5<>53<>LB<>220<>Jr<>Compton, CA
Cody Skene<>5<>34<>WR<>165<>Jr<>Oak Park, CA
Jawanza Starling<>5<>29<>S<>200<>Sr<>Tallahassee, FL
Scott Starr<>5<>47<>LB<>220<>Fr<>Norco, CA
Elijah Steen<>5<>38<>S<>205<>Fr<>Irvine, CA
Conner Sullivan<>5<>16<>QB<>180<>Fr<>Orange, CA
Christian Sutton<>5<>14<>CB<>160<>Fr<>
J.R. Tavai<>5<>58<>DT<>265<>So<>Redondo Beach, CA
Randall Telfer<>5<>82<>TE<>255<>So<>Rancho Cucamonga, CA
Cody Temple<>5<>98<>DT<>285<>Fr<>Bakersfield, CA
Christian Thomas<>5<>89<>TE<>245<>So<>Palmdale, CA
Christian Tober<>5<>28<>WR<>175<>Fr<>San Clemente, CA
William Tober<>5<>36<>CB<>170<>Jr<>San Clemente, CA
Greg Townsend<>5<>93<>DE<>260<>Fr<>Los Angeles, CA
Max Tuerk<>5<>75<>T<>285<>Fr<>Trabuco Canyon, CA
George Uko<>5<>90<>DT<>285<>So<>Chino, CA
Soma Vainuku<>5<>31<>FB<>250<>Fr<>Eureka, CA
Simione Vehikite<>5<>39<>LB<>220<>Jr<>Kapolei, HI
Aundrey Walker<>5<>70<>T<>300<>So<>Cleveland, OH
Chad Wheeler<>5<>72<>T<>270<>Fr<>Santa Monica, CA
Isiah Wiley<>5<>14<>CB<>180<>Sr<>West Monroe, LA
Leonard Williams<>5<>94<>DE<>270<>Fr<>Daytona Beach, FL
DeVante Wilson<>5<>95<>DE<>245<>Fr<>Corona, CA
Max Wittek<>5<>13<>QB<>235<>Fr<>Newport Beach, CA
Alex Wood<>5<>6<>K<>175<>Fr<>Mercer Island, WA
Antwaun Woods<>5<>99<>DT<>315<>Fr<>Los Angeles, CA
Robert Woods<>5<>2<>WR<>190<>Jr<>Carson, CA
Demetrius Wright<>5<>24<>S<>195<>Jr<>Corona, CA
Kyle Yatabe<>5<>59<>LB<>220<>Jr<>El Segundo, CA
