1<>down<>general<>A play, starting when the ball is put into play and ending when the ball is ruled dead<>
2<>drive<>general<>The series of plays when the offense has the football, until it punts or scores and the other team gets possession of the ball.<>
3<>field goal<>event<>A kick, worth three points<>f4nkickgoal.png
4<>fumble<>event<>The act of losing possession of the ball while running with it or being tackled.<>
5<>turnover<>event<>A loss of possession of the ball via a fumble or interception.<>
6<>incomplete pass<>general<>A pass that touches the ground before being caught or that is caught while the player is out of bounds<>
7<>interception<>event<>A pass that's caught by a defensive player, ending the offense's possession of the ball.<>
8<>kickoff<>event<>A free kick that puts the ball into play.<>
9<>punt<>general<>A kick made when a punter drops the ball and kicks it while it falls toward his foot.<>
10<>return<>general<>The act of bringing the ball back in the opposite direction after a change of possession.<>
11<>rush<>event<>To advance the ball by running, not passing<>
12<>sack<>event<>Any tackle of the quarterback behind the line of scrimmage.<>
166<>Vincenzo D'Amato<>player<><>
167<>Antione Davis<>player<><>
168<>Jake Davis<>player<><>
169<>Cedric Dozier<>player<><>
170<>Damariay Drew<>player<><>
171<>Tyré Ellison<>player<><>
172<>Darren Ervin<>player<><>
173<>Maximo Espitia<>player<><>
174<>Dan Fadelli<>player<><>
175<>Brian Farley<>player<><>
176<>Nick Forbes<>player<><>
177<>Khairi Fortt<>player<><>
178<>Donovan Frazer<>player<><>
179<>Dominic Galas<>player<><>
180<>Geoffrey Gibson<>player<><>
181<>Jason Gibson<>player<><>
182<>Lucus Gingold<>player<><>
183<>James Grisom<>player<><>
184<>Spencer Hagan<>player<><>
185<>Chris Harper<>player<><>
186<>Maurice Harris<>player<><>
187<>Josh Hill<>player<><>
188<>Austin Hinder<>player<><>
189<>Jonah Hodges<>player<><>
190<>J.P. Hurrell<>player<><>
191<>Kameron Jackson<>player<><>
192<>Mustafa Jalil<>player<><>
193<>Jalen Jefferson<>player<><>
194<>Keni Kaufusi<>player<><>
195<>Brendan Keeney<>player<><>
196<>Gabe King<>player<><>
197<>Lucas King<>player<><>
198<>Zach Kline<>player<><>
199<>Kameron Krebs<>player<><>
200<>Kaulin Krebs<>player<><>
201<>Cary Kriegsman<>player<><>
202<>James Langford<>player<><>
203<>Isaac Lapite<>player<><>
204<>Daniel Lasco<>player<><>
205<>Kenny Lawler<>player<><>
206<>Adrian Lee<>player<><>
207<>Cole Leininger<>player<><>
208<>Alex Logan<>player<><>
209<>Puka Lopa<>player<><>
210<>Michael Lowe<>player<><>
211<>Brandon Madueño<>player<><>
212<>Joey Mahalic<>player<><>
213<>Mike Manuel<>player<><>
214<>Matt Mayes<>player<><>
215<>Zach Maynard<>player<><>
216<>Chris McCain<>player<><>
217<>Stefan McClure<>player<><>
218<>Bryce McGovern<>player<><>
219<>Viliami Moala<>player<><>
220<>Tanner Mohr<>player<><>
221<>Steven Moore<>player<><>
222<>Duke Moran<>player<><>
223<>Jordan Morgan<>player<><>
224<>Steffan Mos<>player<><>
225<>Robert Mullins<>player<><>
226<>Hardy Nickerson<>player<><>
