Oliver Johnson<>18<>182<>CB<>JR<>Woodland Hills, Calif./Taft/Pierce College
Anthony Jones<>31<>214<>LB<>RS JR<>Chandler, Ariz./Hamilton
Taylor Kelly<>10<>202<>QB<>RS SO<>Eagle, Idaho/Eagle
Ronald Kennedy Jr.<>35<>184<>CB<>RS JR<>Cerritos, Calif./Mayfair
Kody Koebensky<>67<>285<>OL<>RS JR<>Scottsdale, Ariz./Saguaro
Kody Kohl<>83<>230<>TE<>FR<>Gilbert, Ariz./Mesquite
Kipeli Koniseti<>46<>238<>LB<>JR<>Sacramento, Calif./Grant/College of the Sequoias
Mo Latu<>76<>319<>OL<>RS FR<>Gilbert, Ariz./Perry
Danny Lewis<>12<>211<>QB<>RS FR<>Sacramento, Calif./Bradshaw Christian
Deantre Lewis<>3<>188<>DB<>RS SO<>Norco, Calif./Norco
Justin Maenner<>45<>227<>LB<>FR<>Chandlr, Ariz./Dobson HS
Brandon Magee<>8<>228<>LB<>RS SR<>Corona, Calif./Centennial
Cameron Marshall<>6<>215<>RB<>SR<>San Jose, Calif./Valley Christian
Isreal Marshall<>38<>204<>LB<>RS FR<>Phoenix, Ariz./Mountain Pointe
Steffon Martin<>2<>240<>LB<>JR<>Indianapolis, Ind./Pike HS/Arizona Western College
Daniel Masifilo<>86<>206<>WR<>RS SO<>Ewa Beach, Hawaii/Campbell/Mt. SAC
Stephon McCray<>77<>299<>OL<>FR<>Fresno, Calif./Bullard HS
Shane McCullen<>29<>194<>S<>JR<>Apache Junction, Ariz./Apache Junction
Jordan McDonald<>49<>220<>DE<>RS SO<>Scottsdale, Ariz./Saguaro
William McGehee<>75<>292<>OL<>SO<>Plano, Texas/Prestonwood Christian Acad./Navarro CC
Marcus Mehlhaf-Brown<>37<>180<>DB<>SO<>Peoria, Ariz./Brophy HS/Benedectine
Carlos Mendoza<>7<>217<>LB<>FR<>Oxnard, Calif./Oaks Christian HS
Kyle Middlebrooks<>7<>183<>WR<>JR<>Fountain Valley, Calif./Fountain Valley
Jamal Miles<>32<>184<>WR<>SR<>Peoria, Ariz./Peoria
Viliami (Laiu) Moeakiola<>12<>198<>S<>FR<>Euless, Texas/Trinity HS
Jon Mora<>97<>184<>PK<>JR<>San Jose, Costa Rica/Mountain Pointe/PimaCC
James Morrison<>22<>223<>DE<>RS SR<>Phoenix, Ariz./St. Mary's
Robert Nelson<>9<>170<>DB<>RS JR<>Lakeland, Fla./North Gwinnett HS/Louisiana-Monroe
Sean O'Grady<>93<>251<>DL<>RS FR<>Las Flores, Calif./Tesoro
Junior Onyeali<>5<>233<>DE<>JR<>Denver, Colo./Mullen
CJ Overton<>36<>190<>LB<>JR<>Murfreesboro, Tenn./Riverdale/Dodge City CC
Kevin Ozier<>82<>196<>WR<>RS JR<>San Diego, Calif./Mira Mesa
David Pender<>59<>209<>LB<>JR<>Brooklyn, N.Y./Marcos de Niza HS/Herkiner College
Mike Pennel<>99<>355<>DL<>JR<>Aurora, Colo./Grandview HS/Scottsdale (Ariz.) CC
A.J. Pickens<>9<>179<>WR<>RS SR<>Chino, Calif./Don Lugo
Parker Rasmusson<>89<>169<>WR<>FR<>Phoenix, Ariz./Desert Ridge
R.J. Robinson<>35<>175<>RB<>RS JR<>Glendale, Ariz./Westview
Darwin Rogers<>17<>243<>TE<>JR<>Chicago, Ill.//Arizona Western
Rashad Ross<>15<>167<>WR<>SR<>Vallejo, Calif./Vallejo/Butte College
Matthew Rowe<>34<>202<>LB<>FR<>Long Beach, Calif./Polytechnic HS
C.J. Ryan<>61<>284<>DT<>JR<>Seattle, Wash./Seattle Prep/Purdue
Andrew Sampson<>72<>301<>OL<>RS SR<>Aurora, Colo./Overland
Chip Sarafin<>79<>325<>OL<>RS SO<>Gilbert, Ariz./Highland
Brice Schwab<>71<>302<>OL<>RS SR<>West Sunbury, Penn./Moniteau/Palomar College
Jake Sheffield<>91<>273<>DT<>JR<>Denver, Colo.//College of the Desert
Donnie Shields<>66<>240<>LS<>FR<>Sun City, Ariz./Liberty HS
Max Smith<>44<>250<>TE<>RS JR<>Scottsdale, Ariz./Saguaro
Richard Smith<>3<>164<>WR<>FR<>Long Beach, Calif./Polytechnic HS
Tyler Sulka<>54<>271<>OL<>RS SO<>Sherman Oaks, Calif./Notre Dame
Will Sutton<>90<>267<>DT<>RS JR<>Corona, Calif./Centennial
Grandville Taylor<>56<>213<>LB<>RS JR<>San Francisco, Calif./George Washington
Vi Teofilo<>73<>305<>OL<>RS FR<>Phoenix, Ariz./Moon Valley
Toa Tuitea<>96<>275<>DE<>RS SR<>Westminster, Calif./Westminster
Rashad Wadood<>13<>184<>CB<>SO<>Long Beach, Calif./Lakewood
Easton Wahlstrom<>64<>231<>OL<>FR<>Scottsdale, Ariz./Desert Mountain
Marcus Washington<>20<>224<>RB<>RS SO<>Phoenix, Ariz./Desert Vista
Luke Williams<>36<>200<>S<>SO<>Brea, Calif./Brea-Olinda/Saddleback College
Ryan Woods<>14<>203<>QB<>JR<>Granite Bay, Calif.//El Cajon College
Chris Young<>21<>232<>S<>JR<>Seattle, Wash./Auburn Senior HS/Arizona Western
